	Class ID	Preferred Label	Synonyms	alternative term	has_exact_synonym	synlist
123	http://purl.obolibrary.org/obo/CHMO_0001000	chromatography	analytical chromatography|preparative chromatography|chromatographic analysis	N/A	analytical chromatography|preparative chromatography|chromatographic analysis	chromatographic analysis
124	http://purl.obolibrary.org/obo/CHMO_0001007	thin-layer chromatography	TLC	N/A	TLC	TLC
125	http://purl.obolibrary.org/obo/CHMO_0000060	fluorescence detection	fluorescence (FL) detection	N/A	fluorescence (FL) detection	fluorescence (FL) detection
126	http://purl.obolibrary.org/obo/CHMO_0000064	fluorescence resonance energy transfer	FRET|fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	N/A	fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	FRET
126	http://purl.obolibrary.org/obo/CHMO_0000064	fluorescence resonance energy transfer	FRET|fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	N/A	fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	fluorescence resonance energy transfer assay
126	http://purl.obolibrary.org/obo/CHMO_0000064	fluorescence resonance energy transfer	FRET|fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	N/A	fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	fluorescent resonance energy transfer
126	http://purl.obolibrary.org/obo/CHMO_0000064	fluorescence resonance energy transfer	FRET|fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	N/A	fluorescence resonance energy transfer assay|fluorescent resonance energy transfer|fluorescence resonance energy transfer microscopy	fluorescence resonance energy transfer microscopy
127	http://purl.obolibrary.org/obo/CHMO_0000061	flow cytometry	flow cytometric analysis|flow cytometric studies	N/A	flow cytometric analysis|flow cytometric studies	flow cytometric analysis
127	http://purl.obolibrary.org/obo/CHMO_0000061	flow cytometry	flow cytometric analysis|flow cytometric studies	N/A	flow cytometric analysis|flow cytometric studies	flow cytometric studies
128	http://purl.obolibrary.org/obo/CHMO_0000063	bioluminescence resonance energy transfer	BRET	N/A	BRET	BRET
129	http://purl.obolibrary.org/obo/CHMO_0000068	electron microscopy	EM	N/A	EM	EM
130	http://purl.obolibrary.org/obo/CHMO_0000067	microscopy		N/A		N/A
131	http://purl.obolibrary.org/obo/OBI_0000070	assay	measurement method	N/A	measurement method	measurement method
132	http://purl.obolibrary.org/obo/CHMO_0002636	superconducting quantum interference device	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	N/A	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	superconducting quantum interference magnetometer
