	Class ID	Preferred Label	Synonyms	alternative term	has_exact_synonym	synlist
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	LCMSMS
271	http://purl.obolibrary.org/obo/OBI_0001138	X-ray source	x-ray generator	x-ray generator	N/A	x-ray generator
272	http://purl.obolibrary.org/obo/OBI_0400064	laser	light amplification by the stimulated emission of radiation	light amplification by the stimulated emission of radiation	N/A	light amplification by the stimulated emission of radiation
273	http://purl.obolibrary.org/obo/OBI_0302888	washing			N/A	N/A
274	http://purl.obolibrary.org/obo/OBI_0000443	analyte assay			N/A	N/A
275	http://purl.obolibrary.org/obo/OBI_0302912	electroporation	electropermeabilization	electropermeabilization	N/A	electropermeabilization
276	http://purl.obolibrary.org/obo/OBI_0002029	serial analysis of gene expression assay	SAGE	SAGE	N/A	SAGE
277	http://purl.obolibrary.org/obo/OBI_0001058	microplate reader			N/A	N/A
278	http://purl.obolibrary.org/obo/OBI_0302886	centrifugation			N/A	N/A
279	http://purl.obolibrary.org/obo/OBI_0000893	real time polymerase chain reaction assay	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	N/A	kinetic polymerase chain reaction
279	http://purl.obolibrary.org/obo/OBI_0000893	real time polymerase chain reaction assay	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	N/A	quantitative real time polymerase chain reaction
279	http://purl.obolibrary.org/obo/OBI_0000893	real time polymerase chain reaction assay	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	N/A	Q-PCR
279	http://purl.obolibrary.org/obo/OBI_0000893	real time polymerase chain reaction assay	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	kinetic polymerase chain reaction|quantitative real time polymerase chain reaction|Q-PCR|qPCR	N/A	qPCR
280	http://purl.obolibrary.org/obo/BFO_0000015	process		N/A		N/A
281	http://purl.obolibrary.org/obo/BFO_0000023	role		N/A		N/A
282	http://www.ebi.ac.uk/efo/EFO_0003960	computed tomography	computed tomography scan|CT scan	N/A	computed tomography scan|CT scan	computed tomography scan
282	http://www.ebi.ac.uk/efo/EFO_0003960	computed tomography	computed tomography scan|CT scan	N/A	computed tomography scan|CT scan	CT scan
283	http://purl.obolibrary.org/obo/OBI_0000070	assay	scientific observation|measuring	N/A	scientific observation|measuring	scientific observation
283	http://purl.obolibrary.org/obo/OBI_0000070	assay	scientific observation|measuring	N/A	scientific observation|measuring	measuring
284	http://purl.obolibrary.org/obo/IAO_0000030	information entity	information content entity	N/A	information content entity	information content entity
285	http://purl.obolibrary.org/obo/BFO_0000034	function		N/A		N/A
286	http://purl.obolibrary.org/obo/BFO_0000019	quality		N/A		N/A
287	http://purl.obolibrary.org/obo/BFO_0000040	material entity	material type	N/A	material type	material type
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	methylsulfinylmethane
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dimethyl sulfoxide
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	Dimethylsulfoxid
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dimethyl sulfur oxide
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	S(O)Me2
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dimethylsulfoxyde
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	DMSO
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dimetil sulfoxido
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	sulfinylbis(methane)
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dmso
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	(CH3)2SO
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dimethyli sulfoxidum
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dimethyl sulphoxide
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	DIMETHYL SULFOXIDE
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	dimethyl sulfoxide
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	(methanesulfinyl)methane
288	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	methylsulfinylmethane|dimethyl sulfoxide|Dimethylsulfoxid|dimethyl sulfur oxide|S(O)Me2|dimethylsulfoxyde|DMSO|dimetil sulfoxido|sulfinylbis(methane)|dmso|(CH3)2SO|dimethyli sulfoxidum|dimethyl sulphoxide|DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	N/A	DIMETHYL SULFOXIDE|dimethyl sulfoxide|(methanesulfinyl)methane|Dimethyl sulfoxide	Dimethyl sulfoxide
289	http://www.ebi.ac.uk/efo/EFO_0004327	electrocardiography	electrocardiogram|EKG	N/A	electrocardiogram|EKG	electrocardiogram
289	http://www.ebi.ac.uk/efo/EFO_0004327	electrocardiography	electrocardiogram|EKG	N/A	electrocardiogram|EKG	EKG
